Person;Mode;Order


Phileas Fogg;Walking;1
Phileas Fogg|Passepartout|Aouda|Fix;Train;2|3|4|5
Phileas Fogg;Walking;6
Passepartout;Walking;7
Phileas Fogg;Walking;8
Passepartout;Walking;9
Phileas Fogg;Walking;10
Passepartout;Walking;11
Phileas Fogg;Walking;12
Passepartout;Walking;13
Phileas Fogg;Walking;14
Passepartout;Walking;15
Phileas Fogg;Walking;16
Passepartout;Walking;17
Phileas Fogg;Walking;18
Passepartout;Walking;19
Phileas Fogg;Walking;20
Passepartout;Walking;21
Phileas Fogg;Walking;22
Passepartout;Walking;23
Phileas Fogg;Walking;24
Passepartout;Walking;25
Phileas Fogg;Walking;26
Passepartout;Walking;27
Phileas Fogg;Walking;28
Passepartout;Walking;29
Phileas Fogg;Walking;30
Passepartout;Walking;31
Phileas Fogg;Walking;32
Passepartout;Walking;33
Phileas Fogg;Walking;34
Passepartout;Walking;35
Phileas Fogg;Walking;36
Passepartout;Walking;37
Phileas Fogg;Walking;38
Passepartout;Walking;39
Phileas Fogg;Walking;40
Passepartout;Walking;41
Phileas Fogg;Walking;42
Passepartout;Walking;43
Phileas Fogg;Walking;44
Passepartout;Walking;45
Phileas Fogg;Walking;46
Passepartout;Walking;47
Phileas Fogg;Walking;48
Passepartout;Walking;49
Phileas Fogg;Walking;50
Passepartout;Walking;51
Phileas Fogg;Walking;52
Passepartout;Walking;53
Phileas Fogg;Walking;54
Passepartout;Walking;55
Phileas Fogg;Walking;56
Passepartout;Walking;57
Phileas Fogg;Walking;58
Passepartout;Walking;59
Phileas Fogg;Walking;60
Passepartout;Walking;61
Phileas Fogg;Walking;62
Passepartout;Walking;63
Phileas Fogg;Walking;64
Passepartout;Walking;65
Phileas Fogg;Walking;66
Passepartout;Walking;67
Phileas Fogg;Walking;68
Passepartout;Walking;69
Phileas Fogg;Walking;70
Passepartout;Walking;71
Phileas Fogg;Walking;72
Passepartout;Walking;73
Phileas Fogg;Walking;74
Passepartout;Walking;75
Phileas Fogg;Walking;76
Passepartout;Walking;77
Phileas Fogg;Walking;78
Passepartout;Walking;79
Phileas Fogg;Walking;80
Passepartout;Walking;81
Phileas Fogg;Walking;82
Passepartout;Walking;83
Phileas Fogg;Walking;84
Passepartout;Walking;85
Phileas Fogg;Walking;86
Passepartout;Walking;87
Phileas Fogg;Walking;88
Passepartout;Walking;89
Phileas Fogg;Walking;90
Passepartout;Walking;91
Phileas Fogg;Walking;92
Passepartout;Walking;93
Phileas Fogg;Walking;94
Passepartout;Walking;95
Phileas Fogg;Walking;96
Passepartout;Walking;97
Phileas Fogg;Walking;98
Passepartout;Walking;99
Phileas Fogg;Walking;100
Passepartout;Walking;101
Phileas Fogg;Walking;102
Passepartout;Walking;103
Phileas Fogg;Walking;104
Passepartout;Walking;105
Phileas Fogg;Walking;106
Passepartout;Walking;107
Phileas Fogg;Walking;108
Passepartout;Walking;109
Phileas Fogg;Walking;110
Passepartout;Walking;111
Phileas Fogg;Walking;112
Passepartout;Walking;113
Phileas Fogg;Walking;114
Passepartout;Walking;115
Phileas Fogg;Walking;116
Passepartout;Walking;117
Phileas Fogg;Walking;118
Passepartout;Walking;119
