;Person;City;Latitude;Longitude;Location;Order;Importance;Country
0;Phileas Fogg;San Francisco;37.7749;-122.4194;Oakland station;1;1.0;us
1;Phileas Fogg;Omaha;41.2565;-95.9345;;2;1.0;us
2;Phileas Fogg;New York;40.7128;-74.006;;3;1.0;us
3;Phileas Fogg;Sacramento;38.5816;-121.4944;;4;1.0;us
4;Phileas Fogg;Sierra Nevada;36.5786;-118.292;;5;1.0;us
5;Phileas Fogg;Nevada;38.8026;-116.4194;Carson Valley;6;1.0;us
6;Phileas Fogg;Reno;39.5296;-119.8138;;7;1.0;us
7;Phileas Fogg;Nevada;38.8026;-116.4194;Humboldt Range;8;1.0;us
8;Phileas Fogg;Utah;39.3209;-111.0937;Great Salt Lake;9;1.0;us
9;Passepartout;San Francisco;37.7749;-122.4194;Oakland station;1;0.8;us
10;Passepartout;Omaha;41.2565;-95.9345;;2;0.8;us
11;Passepartout;New York;40.7128;-74.006;;3;0.8;us
12;Passepartout;Sacramento;38.5816;-121.4944;;4;0.8;us
13;Passepartout;Sierra Nevada;36.5786;-118.292;;5;0.8;us
14;Passepartout;Nevada;38.8026;-116.4194;Carson Valley;6;0.8;us
15;Passepartout;Reno;39.5296;-119.8138;;7;0.8;us
16;Passepartout;Nevada;38.8026;-116.4194;Humboldt Range;8;0.8;us
17;Passepartout;Utah;39.3209;-111.0937;Great Salt Lake;9;0.8;us
